en,pt
WELCOME,BEM-VINDO
is a free statistical analysis service. DIY!,é um serviço gratuito de análise estatística. FAÇA VOCÊ MESMO!
Just upload a CSV file:,Apenas envie um arquivo CSV:
Factors or categorical variables must be standardized and typed in full. Example: (Married - Single - Other) OR (Success - Failure),Fatores ou variáveis ​​categóricas devem ser padronizados e digitados por extenso. Exemplo: (Casado - Solteiro - Outro) OU (Sucesso - Falha)
Missing values must be registered with,Os valores ausentes devem ser registrados com
The first column and the first row are reserved for identification of patients and variables,A primeira coluna e a primeira linha são reservadas para identificação de pacientes e variáveis
respectively.,respectivamente.
Use the side panel to adjust other CSV settings and click on,Utilize o painel lateral para ajustar outras configurações do CSV e clique em
ANALYZE MY DATA,ANALISAR MEUS DADOS
If you have any difficulties,Se você tiver alguma dificuldade
try to insert your data in our example database:,tente inserir seus dados em nosso banco de dados de exemplo:
IMPORTANT: Legal Disclaimer,IMPORTANTE: Aviso Legal
Translate to,Traduza para
CSV File upload (max 5MB),Upload do arquivo CSV (máx 5 MB)
CSV separated by,CSV separado por
Decimals are separated by,Os decimais são separados por
comma,vírgula
semicolon,ponto e vírgula
tab,tab
space,espaço
point,ponto
File,Arquivo
database is ok?,banco de dados está ok?
Check your data,Verifique seus dados
If everything is right,Se estiver tudo certo
click on,clique em
If there is an error,Caso haja erro
try changing the options on the side panel. (decimals or 'CSV configuration').,tente alterar as opções no painel lateral. (decimais ou 'configuração do CSV').
Upload,Envio
Data viewer,Ver os dados
Custom graphics,Customizar gráficos
Tests,Testes
Citation,Citação
Descriptive statistics,Estatísticas descritivas
View/Download data,Visualizar/Baixar dados
Histogram,Histograma
Boxplot,Boxplot(Diagrama de caixa)
Scatterplot,Dispersão
2 factors x 2 numbers,2 fatores x 2 números
Kruskal-Wallis Test,Teste de Kruskal-Wallis
ANOVA Test,Teste ANOVA
Mann-Whitney Test,Teste de Mann-Whitney
Student's t-test,Teste t de Student
Correlation test,Teste de correlação
Fisher's exact test,Teste exato de Fisher
ROC Curve,Curva ROC
How can I cite this web site in my publication?,Como citar este site em minha publicação ?
Contact,Contato
Legal Disclaimer,Aviso Legal
We are waiting for your contact,Estamos aguardando o seu contato
if you have any suggestions,Se você tem alguma sugestão
question or compliment,pregunta ou elogio
send an email to,envie um e-mail para
Regards,Att
The owners of this website,Os proprietários deste site
